page_latest_low,page_latest_high,page_len_low,page_len_high,num_rows
3674161,5167475,103524,108138,8,
2759299,3966685,612676,852031,0,
1651682,2145882,211669,1021515,0,
5141369,5573997,545118,644257,0,
2362452,5025624,1322361,1495909,0,
216725,6095379,294134,1311019,14,
566128,3126462,300687,995410,2,
2236888,4910136,111736,1192043,48,
4911462,5419886,87847,603823,38,
161681,3030195,500412,711987,1,
225162,4364550,64279,921003,160,
2847793,4292385,1273376,1471202,0,
742534,4838529,351604,518900,3,
4950508,5603829,349997,634683,0,
3086978,4549944,197701,323801,2,
3444833,3814253,1112380,1466573,0,
1326213,5548205,58560,535281,373,
2333839,2805105,252834,771217,1,
1137251,5468524,472159,829144,3,
2204449,3802497,635459,1441091,0,
609198,6258755,47468,728178,853,
2699071,4459845,511236,935163,0,
1943109,2560811,777160,904004,0,
2828768,4685865,863466,1435906,0,
3638940,4446268,237452,404772,1,
2986296,6381384,1004088,1327792,0,
969242,6357407,151456,923827,76,
1509592,3141523,1238961,1557033,0,
2476610,5684718,1455698,1514363,0,
1088909,3454259,614630,1447751,0,
372894,1151910,582872,593671,0,
3280943,3539277,56863,245290,14,
2333259,5380291,9887,963687,2437,
2626181,4849723,1543414,1553098,0,
3300456,3937819,514824,1557013,0,
886747,6020812,328817,629801,8,
174548,5315407,131201,1172974,39,
2392811,2502525,694369,1277575,0,
614834,3486432,192937,460605,2,
647923,1761903,1139533,1544107,0,
1541893,3805465,876339,1433191,0,
1587867,2433130,989053,1183017,0,
879459,3309783,341086,530592,1,
834858,1800027,365736,762826,0,
1915669,6225787,1128363,1150737,0,
1032994,2638816,234240,986350,2,
536182,2465278,632365,990865,0,
79065,3547627,255775,1380580,5,
4538548,4710961,884377,969327,0,
249455,5158034,205586,1329322,14,
2485892,5899779,789347,853200,0,
1397648,6072013,204247,736780,28,
387558,6228118,830470,1115121,1,
2877789,5198803,4676,338078,6147,
1839282,3017914,263862,982906,1,
3084846,5750772,361309,665684,5,
542410,978774,217573,583016,0,
243927,542942,159157,1425307,2,
4627029,6126283,1483,1210563,75753,
1261017,3956508,359469,1356761,2,
4960790,5239988,280487,925284,0,
3090192,4589727,1104835,1461318,0,
2935624,3407084,1278230,1529565,0,
3893673,4307004,9398,794038,219,
841061,4308498,1241168,1546680,0,
2567058,3323303,814641,1385707,0,
863577,5931288,798280,1248651,1,
601646,2828085,602745,1356300,0,
2555377,5643068,304921,1197406,3,
3852218,6199203,1247604,1505121,0,
114815,734811,144861,429541,3,
2040891,2168462,702539,1358951,0,
3478865,5155611,209249,1415839,9,
2061705,5871596,59253,942105,427,
1603879,3589730,351450,1362876,1,
864210,6107025,1047307,1266350,0,
1754330,4193670,764193,895997,0,
1596974,1905764,89679,1428535,1,
1942861,3596167,366162,1468895,1,
320077,619379,43953,826397,3,
5203288,5366016,775712,1351410,0,
2399026,4812390,579811,1052025,0,
499946,2409194,615684,1248979,0,
1181735,2470526,244109,560256,1,
2677527,5769777,611146,1128405,1,
5246257,5333720,1144208,1292145,0,
1738915,2160516,363520,1408916,0,
3393776,5544441,1163662,1542365,0,
2679396,4538398,510750,1214093,0,
744269,4217344,211673,303881,1,
1380907,5340392,450462,1256370,3,
1167160,2770572,398713,783448,1,
786881,911624,22098,1074185,15,
1726596,6251310,792169,1186799,1,
4503058,5458054,940510,1215833,0,
5541598,5627934,850843,1287589,0,
1683291,4766504,130935,1152078,22,
93703,4737328,455366,1415307,2,
